Target Distance: 50, Step Size: 2
125: (x,y) = (20.752, -10.3314)
126: (x,y) = (19.0559, -9.27155)
127: (x,y) = (19.5735, -11.2034)
128: (x,y) = (17.9154, -12.3218)
129: (x,y) = (16.0028, -12.9065)
130: (x,y) = (17.6411, -14.0537)
131: (x,y) = (15.6487, -14.228)
132: (x,y) = (13.6636, -13.9843)
133: (x,y) = (15.1731, -15.2964)
134: (x,y) = (14.3916, -17.1374)
135: (x,y) = (15.6772, -18.6695)
136: (x,y) = (13.7284, -18.2196)
137: (x,y) = (12.2421, -19.5578)
138: (x,y) = (13.302, -17.8617)
139: (x,y) = (15.0679, -18.8007)
140: (x,y) = (17.0667, -18.7309)
141: (x,y) = (19.0557, -18.9399)
142: (x,y) = (17.7971, -17.3856)
143: (x,y) = (19.3731, -16.1543)
144: (x,y) = (17.4506, -16.7056)
145: (x,y) = (17.6596, -18.6946)
146: (x,y) = (15.847, -17.8494)
147: (x,y) = (17.1326, -16.3173)
148: (x,y) = (19.1277, -16.4568)
149: (x,y) = (18.7804, -14.4872)
150: (x,y) = (17.3177, -13.1232)
151: (x,y) = (15.4267, -13.7744)
152: (x,y) = (17.3585, -13.2567)
153: (x,y) = (15.3695, -13.0477)
154: (x,y) = (16.4587, -14.725)
155: (x,y) = (17.1099, -12.834)
156: (x,y) = (17.7939, -14.7133)
157: (x,y) = (18.8832, -13.036)
158: (x,y) = (20.7376, -12.2868)
159: (x,y) = (21.7974, -13.9829)
160: (x,y) = (19.9703, -13.1694)
161: (x,y) = (20.1446, -11.177)
162: (x,y) = (22.0671, -10.6257)
163: (x,y) = (21.0975, -8.87651)
164: (x,y) = (21.5134, -10.8328)
165: (x,y) = (22.2301, -12.7)
166: (x,y) = (21.9517, -10.7194)
167: (x,y) = (19.9566, -10.8589)
168: (x,y) = (21.8972, -10.3751)
169: (x,y) = (23.8535, -10.7909)
170: (x,y) = (21.9991, -11.5401)
171: (x,y) = (23.8535, -12.2893)
172: (x,y) = (23.04, -14.1164)
173: (x,y) = (21.04, -14.1164)
174: (x,y) = (21.4899, -16.0652)
175: (x,y) = (23.475, -15.8214)
176: (x,y) = (24.0598, -17.7341)
177: (x,y) = (24.1644, -15.7368)
178: (x,y) = (24.9779, -13.9097)
179: (x,y) = (25.1522, -15.9021)
180: (x,y) = (24.403, -14.0477)
181: (x,y) = (25.6343, -12.4717)
182: (x,y) = (25.6692, -14.4714)
183: (x,y) = (24.072, -13.2678)
184: (x,y) = (22.4539, -14.4433)
185: (x,y) = (23.072, -16.3454)
186: (x,y) = (22.8282, -14.3604)
187: (x,y) = (24.777, -14.8103)
188: (x,y) = (23.1797, -16.0139)
189: (x,y) = (24.8758, -17.0737)
190: (x,y) = (23.1099, -18.0127)
191: (x,y) = (21.3279, -18.9207)
192: (x,y) = (20.4199, -17.1386)
193: (x,y) = (21.9742, -15.88)
194: (x,y) = (21.3895, -17.7926)
195: (x,y) = (23.3457, -18.2084)
196: (x,y) = (23.1367, -16.2194)
197: (x,y) = (21.4224, -17.2495)
198: (x,y) = (22.0735, -15.3584)
199: (x,y) = (20.4352, -16.5056)
200: (x,y) = (21.2804, -18.3182)
201: (x,y) = (20.1333, -19.9565)
202: (x,y) = (20.0286, -17.9592)
203: (x,y) = (21.5829, -19.2179)
204: (x,y) = (23.3488, -20.1568)
205: (x,y) = (23.0704, -18.1763)
206: (x,y) = (21.0707, -18.2112)
207: (x,y) = (21.1405, -16.2124)
208: (x,y) = (19.3279, -17.0576)
209: (x,y) = (18.9121, -15.1014)
210: (x,y) = (17.6, -13.5919)
211: (x,y) = (18.8586, -12.0376)
212: (x,y) = (17.0315, -11.2242)
213: (x,y) = (16.3804, -13.1152)
214: (x,y) = (15.5669, -14.9423)
215: (x,y) = (17.5302, -14.5607)
216: (x,y) = (19.4527, -14.0094)
217: (x,y) = (21.2186, -13.0705)
218: (x,y) = (19.2381, -13.3488)
219: (x,y) = (17.347, -12.6977)
220: (x,y) = (16.2577, -11.0203)
221: (x,y) = (14.7715, -12.3586)
222: (x,y) = (16.5535, -11.4506)
223: (x,y) = (18.5098, -11.0348)
224: (x,y) = (20.4903, -10.7564)
225: (x,y) = (18.6493, -9.97498)
226: (x,y) = (17.6797, -11.7242)
227: (x,y) = (18.2977, -9.8221)
228: (x,y) = (18.054, -11.8072)
229: (x,y) = (18.9307, -10.0096)
230: (x,y) = (19.8387, -8.22759)
231: (x,y) = (20.7776, -9.99349)
232: (x,y) = (21.3624, -11.9061)
233: (x,y) = (23.0205, -13.0245)
234: (x,y) = (21.0979, -12.4732)
235: (x,y) = (22.9105, -13.3184)
236: (x,y) = (22.771, -15.3136)
237: (x,y) = (23.2549, -17.2542)
238: (x,y) = (21.2743, -17.5325)
239: (x,y) = (21.9911, -19.3997)
240: (x,y) = (21.6095, -17.4364)
241: (x,y) = (19.6107, -17.3666)
242: (x,y) = (19.6456, -19.3663)
243: (x,y) = (19.2298, -21.3226)
244: (x,y) = (19.0207, -23.3117)
245: (x,y) = (19.0905, -25.3104)
246: (x,y) = (21.0031, -24.7257)
247: (x,y) = (21.453, -26.6744)
248: (x,y) = (23.1491, -25.6146)
249: (x,y) = (25.1415, -25.7889)
250: (x,y) = (24.5235, -23.8868)
251: (x,y) = (25.0073, -25.8274)
252: (x,y) = (23.8317, -24.2094)
253: (x,y) = (25.8241, -24.3837)
254: (x,y) = (24.677, -22.7454)
255: (x,y) = (25.5537, -20.9478)
256: (x,y) = (27.4081, -21.697)
257: (x,y) = (26.724, -19.8176)
258: (x,y) = (24.9748, -20.7872)
259: (x,y) = (24.7311, -18.8021)
260: (x,y) = (26.0951, -20.2648)
261: (x,y) = (24.5856, -18.9527)
262: (x,y) = (24.8294, -20.9378)
263: (x,y) = (24.6551, -22.9302)
264: (x,y) = (25.9672, -21.4208)
265: (x,y) = (27.8216, -22.17)
266: (x,y) = (29.8021, -21.8916)
267: (x,y) = (28.27, -23.1772)
268: (x,y) = (27.3311, -24.9431)
269: (x,y) = (27.6439, -26.9185)
270: (x,y) = (29.22, -28.1498)
271: (x,y) = (29.0456, -30.1422)
272: (x,y) = (30.6637, -31.3178)
273: (x,y) = (32.6269, -30.9362)
274: (x,y) = (31.0509, -29.7048)
275: (x,y) = (29.9038, -28.0665)
276: (x,y) = (30.3537, -26.1178)
277: (x,y) = (32.1663, -26.963)
278: (x,y) = (33.7843, -28.1386)
279: (x,y) = (35.247, -26.7746)
280: (x,y) = (33.2473, -26.8095)
281: (x,y) = (34.2169, -25.0603)
282: (x,y) = (35.1559, -23.2944)
283: (x,y) = (33.4598, -24.3542)
284: (x,y) = (34.0445, -26.2668)
285: (x,y) = (33.0749, -24.5176)
286: (x,y) = (34.8408, -25.4565)
287: (x,y) = (35.4919, -27.3476)
288: (x,y) = (37.2895, -26.4708)
289: (x,y) = (35.6715, -25.2952)
290: (x,y) = (37.1578, -23.957)
291: (x,y) = (38.2762, -22.2989)
292: (x,y) = (40.1672, -22.95)
293: (x,y) = (39.7856, -20.9868)
294: (x,y) = (37.8368, -21.4367)
295: (x,y) = (39.3463, -20.1246)
296: (x,y) = (38.5328, -21.9517)
297: (x,y) = (37.9481, -23.8643)
298: (x,y) = (39.2863, -25.3506)
299: (x,y) = (38.1392, -26.9889)
300: (x,y) = (40.0879, -27.4388)
301: (x,y) = (38.322, -28.3777)
302: (x,y) = (38.94, -30.2798)
303: (x,y) = (37.2627, -31.3691)
304: (x,y) = (38.9947, -32.3691)
After 304 steps, the subject has the following location:
(x,y) = (38.9947, -32.3691)
 or
(m,a) = (50.6789, -39.6957)
Average outward distance per step = 0.166707
